id,data,updated_at
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-19T09:52:37.190732+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-19T09:52:37.254918+00:00""}",2025-11-19T09:52:37.256359+00:00
local-1763549902.119302,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-19T10:58:22.120755+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-19T10:58:22.251365+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-19T10:58:22.314905+00:00""}",2025-11-19T10:58:22.316288+00:00
local-1763551803.503311,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-19T11:30:03.504759+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-19T11:30:03.649822+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-19T11:30:03.723577+00:00""}",2025-11-19T11:30:03.726746+00:00
local-1763551869.947693,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-19T11:31:09.949105+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-19T11:31:10.084238+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-19T11:31:10.150293+00:00""}",2025-11-19T11:31:10.151867+00:00
local-1763553350.822983,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-19T11:55:50.834763+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-19T11:55:50.971343+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-19T11:55:51.035133+00:00""}",2025-11-19T11:55:51.036486+00:00
local-1763553467.267494,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-19T11:57:47.268899+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-19T11:57:47.402584+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-19T11:57:47.467745+00:00""}",2025-11-19T11:57:47.469168+00:00
local-1763554394.719347,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-19T12:13:14.720730+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-19T12:13:14.857130+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-19T12:13:14.921522+00:00""}",2025-11-19T12:13:14.922919+00:00
local-1763554794.38182,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-19T12:19:54.383289+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-19T12:19:54.523276+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-19T12:19:54.587184+00:00""}",2025-11-19T12:19:54.588596+00:00
local-1763556586.816335,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-19T12:49:46.817731+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-19T12:49:46.949856+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-19T12:49:47.012491+00:00""}",2025-11-19T12:49:47.013915+00:00
local-1763556726.104527,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-19T12:52:06.105895+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-19T12:52:06.239367+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-19T12:52:06.303031+00:00""}",2025-11-19T12:52:06.304389+00:00
local-1763557200.128185,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-19T13:00:00.129612+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-19T13:00:00.265508+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-19T13:00:00.329601+00:00""}",2025-11-19T13:00:00.330901+00:00
local-1763600075.61901,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-20T00:54:35.629735+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-20T00:54:35.765279+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-20T00:54:35.828452+00:00""}",2025-11-20T00:54:35.830025+00:00
local-1763601080.461825,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-20T01:11:20.463130+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-20T01:11:20.599095+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-20T01:11:20.662616+00:00""}",2025-11-20T01:11:20.664308+00:00
local-1763602259.651891,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-20T01:30:59.653226+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-20T01:30:59.787389+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-20T01:30:59.850577+00:00""}",2025-11-20T01:30:59.851973+00:00
local-1763603987.115228,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-20T01:59:47.116678+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-20T01:59:47.247138+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-20T01:59:47.308431+00:00""}",2025-11-20T01:59:47.309692+00:00
local-1763605664.649727,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-20T02:27:44.660692+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-20T02:27:44.809396+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-20T02:27:44.875128+00:00""}",2025-11-20T02:27:44.876848+00:00
local-1763607327.353093,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-20T02:55:27.354438+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-20T02:55:27.497295+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-20T02:55:27.561819+00:00""}",2025-11-20T02:55:27.563116+00:00
local-1763609730.412438,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-20T03:35:30.414767+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-20T03:35:30.558804+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-20T03:35:30.628459+00:00""}",2025-11-20T03:35:30.630178+00:00
local-1763609759.907859,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-20T03:35:59.909431+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-20T03:36:00.079529+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-20T03:36:00.152994+00:00""}",2025-11-20T03:36:00.154515+00:00
local-1763611118.373968,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-20T03:58:38.375562+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-20T03:58:38.532800+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-20T03:58:38.609238+00:00""}",2025-11-20T03:58:38.616604+00:00
local-1763611857.44752,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-20T04:10:57.448945+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-20T04:10:57.582848+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-20T04:10:57.643659+00:00""}",2025-11-20T04:10:57.645112+00:00
local-1763641682.548714,"{""id"": ""local-1763641682.548714"", ""title"": ""smoke_routes_local conversation"", ""messages"": [{""role"": ""user"", ""content"": [{""type"": ""input_text"", ""text"": ""Hello from smoke test.""}]}], ""created"": ""2025-11-20T12:28:02.548723+00:00""}",2025-11-20T12:28:02.570525+00:00
local-1763641682.548714,"{""id"": ""local-1763641682.548714"", ""title"": ""smoke_routes_local conversation (updated)"", ""messages"": [{""role"": ""user"", ""content"": [{""type"": ""input_text"", ""text"": ""Hello from smoke test.""}]}], ""created"": ""2025-11-20T12:28:02.548723+00:00"", ""updated"": ""2025-11-20T12:28:04.366551+00:00""}",2025-11-20T12:28:04.367918+00:00
local-1763641682.548714,"{""id"": ""local-1763641682.548714"", ""title"": ""smoke_routes_local conversation (updated)"", ""messages"": [{""role"": ""user"", ""content"": [{""type"": ""input_text"", ""text"": ""Hello from smoke test.""}]}, {""role"": ""user"", ""content"": [{""type"": ""input_text"", ""text"": ""Second message.""}]}], ""created"": ""2025-11-20T12:28:02.548723+00:00"", ""updated"": ""2025-11-20T12:28:04.366551+00:00""}",2025-11-20T12:28:04.987539+00:00
local-1763641682.548714,"{""id"": ""local-1763641682.548714"", ""deleted"": true, ""deleted_at"": ""2025-11-20T12:28:05.761445+00:00""}",2025-11-20T12:28:05.764114+00:00
local-1763724241.905641,"{""id"": ""local-1763724241.905641"", ""title"": ""Untitled"", ""messages"": [{""role"": ""user"", ""content"": ""Start a conversation""}], ""created"": ""2025-11-21T11:24:01.905664+00:00""}",2025-11-21T11:24:01.907927+00:00
local-1763724462.768142,"{""id"": ""local-1763724462.768142"", ""title"": ""Untitled"", ""messages"": [{""role"": ""user"", ""content"": ""Start a conversation""}], ""created"": ""2025-11-21T11:27:42.768153+00:00""}",2025-11-21T11:27:42.770445+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""id"": ""conv_001""}",2025-11-21T11:47:07.473663+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""id"": ""conv_001""}",2025-11-21T11:47:07.669541+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""id"": ""conv_001"", ""echo_method"": ""POST""}",2025-11-21T11:51:01.443481+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""id"": ""conv_001"", ""echo_method"": ""GET""}",2025-11-21T11:51:01.614038+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""echo_method"": ""POST"", ""id"": ""conv_001""}",2025-11-21T11:59:22.605668+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_method"": ""GET"", ""id"": ""conv_001""}",2025-11-21T11:59:22.737703+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-21T11:59:22.805197+00:00""}",2025-11-21T11:59:22.806590+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""echo_method"": ""POST"", ""id"": ""conv_001""}",2025-11-21T12:02:16.111512+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_method"": ""GET"", ""id"": ""conv_001""}",2025-11-21T12:02:16.255300+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-21T12:02:16.322738+00:00""}",2025-11-21T12:02:16.324099+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""echo_method"": ""POST"", ""id"": ""conv_001""}",2025-11-21T12:25:52.500135+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_method"": ""GET"", ""id"": ""conv_001""}",2025-11-21T12:25:52.635931+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-21T12:25:52.704788+00:00""}",2025-11-21T12:25:52.706229+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""echo_method"": ""POST"", ""id"": ""conv_001""}",2025-11-21T12:41:42.444401+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_method"": ""GET"", ""id"": ""conv_001""}",2025-11-21T12:41:42.587375+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-21T12:41:42.656289+00:00""}",2025-11-21T12:41:42.657732+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""echo_method"": ""POST"", ""id"": ""conv_001""}",2025-11-21T12:56:44.049045+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_method"": ""GET"", ""id"": ""conv_001""}",2025-11-21T12:56:44.186169+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-21T12:56:44.254481+00:00""}",2025-11-21T12:56:44.255807+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""echo_method"": ""POST"", ""id"": ""conv_001""}",2025-11-21T13:00:45.014286+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_method"": ""GET"", ""id"": ""conv_001""}",2025-11-21T13:00:45.163387+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-21T13:00:45.232833+00:00""}",2025-11-21T13:00:45.234121+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""echo_method"": ""POST"", ""id"": ""conv_001""}",2025-11-21T13:33:42.624829+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_method"": ""GET"", ""id"": ""conv_001""}",2025-11-21T13:33:42.771792+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-21T13:33:42.845157+00:00""}",2025-11-21T13:33:42.846594+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""echo_method"": ""POST"", ""id"": ""conv_001""}",2025-11-21T13:47:22.202623+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_method"": ""GET"", ""id"": ""conv_001""}",2025-11-21T13:47:22.341242+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-21T13:47:22.411948+00:00""}",2025-11-21T13:47:22.413443+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""echo_method"": ""POST"", ""id"": ""conv_001""}",2025-11-21T14:14:41.253515+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_method"": ""GET"", ""id"": ""conv_001""}",2025-11-21T14:14:41.388703+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-21T14:14:41.455811+00:00""}",2025-11-21T14:14:41.457184+00:00
local-1763739645.767128,"{""id"": ""local-1763739645.767128"", ""title"": ""Relay smoke test conversation"", ""messages"": [], ""created"": ""2025-11-21T15:40:45.767193+00:00""}",2025-11-21T15:40:45.769246+00:00
local-1763739645.767128,"{""id"": ""local-1763739645.767128"", ""deleted"": true, ""deleted_at"": ""2025-11-21T15:43:35.383405+00:00""}",2025-11-21T15:43:35.385190+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""echo_method"": ""POST"", ""id"": ""conv_001""}",2025-11-21T20:45:16.786707+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_method"": ""GET"", ""id"": ""conv_001""}",2025-11-21T20:45:16.934246+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-21T20:45:17.001295+00:00""}",2025-11-21T20:45:17.002853+00:00
local-1763792857.100579,"{""object"": ""test.proxy"", ""path"": ""/v1/conversations"", ""method"": ""POST"", ""echo"": {""messages"": [{""role"": ""user"", ""content"": ""Start a conversation""}]}}",2025-11-22T06:27:37.110979+00:00
conv_001,"{""object"": ""test.proxy"", ""path"": ""/v1/conversations/conv_001"", ""method"": ""GET"", ""echo"": {}}",2025-11-22T06:27:37.157770+00:00
local-1763793773.433358,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""echo_method"": ""POST"", ""echo_json"": {""messages"": [{""role"": ""user"", ""content"": ""Start a conversation""}]}}",2025-11-22T06:42:53.434867+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_method"": ""GET"", ""echo_json"": {}}",2025-11-22T06:42:53.450018+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-22T06:42:53.453505+00:00""}",2025-11-22T06:42:53.460379+00:00
local-1763794313.392879,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""echo_method"": ""POST"", ""echo_json"": {""messages"": [{""role"": ""user"", ""content"": ""Start a conversation""}]}}",2025-11-22T06:51:53.394111+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_method"": ""GET"", ""echo_json"": {}}",2025-11-22T06:51:53.406963+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-22T06:51:53.409761+00:00""}",2025-11-22T06:51:53.416174+00:00
local-1763794318.475146,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""echo_method"": ""POST"", ""echo_json"": {""messages"": [{""role"": ""user"", ""content"": ""Start a conversation""}]}}",2025-11-22T06:51:58.476491+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_method"": ""GET"", ""echo_json"": {}}",2025-11-22T06:51:58.489488+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-22T06:51:58.492563+00:00""}",2025-11-22T06:51:58.499378+00:00
local-1763796725.070757,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""echo_method"": ""POST"", ""echo_json"": {""messages"": [{""role"": ""user"", ""content"": ""Start a conversation""}]}}",2025-11-22T07:32:05.072159+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_method"": ""GET"", ""echo_json"": {}}",2025-11-22T07:32:05.083336+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-22T07:32:05.086111+00:00""}",2025-11-22T07:32:05.092336+00:00
local-1763798387.145897,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""echo_method"": ""POST"", ""echo_json"": {""messages"": [{""role"": ""user"", ""content"": ""Start a conversation""}]}}",2025-11-22T07:59:47.157539+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_method"": ""GET"", ""echo_json"": {}}",2025-11-22T07:59:47.168323+00:00
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-22T07:59:47.171568+00:00""}",2025-11-22T07:59:47.177522+00:00
local-1763798510.473308,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations"", ""echo_method"": ""POST"", ""echo_json"": {""messages"": [{""role"": ""user"", ""content"": ""Start a conversation""}]}}",2025-11-22T08:01:50.474580+00:00
conv_001,"{""object"": ""test_proxy"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_method"": ""GET"", ""echo_json"": {}}",2025-11-22T08:01:50.487506+00:00
